school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,father,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6
GP,M,17,U,GT3,T,1,1,other,other,course,mother,1,2,3,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,3,4,5,5
GP,F,15,R,LE3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14
GP,M,16,U,LE3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,1,5,4,10,12
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15
MS,F,17,R,GT3,T,2,1,other,other,course,mother,2,2,0,no,yes,no,no,yes,yes,no,no,4,2,5,1,2,4,2,6,5
MS,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,1,1,no,no,no,yes,yes,yes,yes,yes,4,3,3,2,3,2,8,9,8
MS,F,19,U,LE3,T,3,2,services,services,reputation,other,1,2,1,no,no,no,yes,yes,yes,yes,yes,3,2,2,1,1,1,12,8,8
MS,M,20,U,GT3,T,2,2,other,other,course,father,1,2,2,no,yes,yes,no,yes,no,yes,no,4,4,4,1,1,5,0,11,10
